500.00,0.00,500
510.00,0.08,500
510.00,0.17,500
500.00,0.26,500
500.00,0.34,500
500.00,0.43,500
500.00,0.51,500
500.00,0.61,500
500.00,0.68,500
500.00,0.78,500
500.00,0.87,500
500.00,0.95,500
500.00,1.04,500
500.00,1.13,500
520.00,1.21,500
510.00,1.30,500
510.00,1.39,500
510.00,1.48,500
510.00,1.56,500
510.00,1.65,500
510.00,1.74,500
510.00,1.83,500
520.00,1.91,500
535.00,2.00,500
520.00,2.08,500
520.00,2.18,500
520.00,2.26,500
535.00,2.35,500
510.00,2.44,500
500.00,2.52,500
480.00,2.61,500
490.00,2.69,500
490.00,2.79,500
485.00,2.88,500
490.00,2.95,500
490.00,3.04,500
490.00,3.13,500
480.00,3.22,500
480.00,3.30,500
480.00,3.39,500
480.00,3.48,500
490.00,3.57,500
480.00,3.66,500
470.00,3.74,500
480.00,3.83,500
480.00,3.92,500
480.00,4.00,500
470.00,4.09,500
480.00,4.19,500
480.00,4.27,500
500.00,4.35,500
510.00,4.44,500
490.00,4.53,500
480.00,4.61,500
470.00,4.70,500
480.00,4.79,500
490.00,4.88,500
500.00,4.96,500
510.00,5.05,500
500.00,5.14,500
490.00,5.23,500
490.00,5.32,500
480.00,5.40,500
480.00,5.49,500
520.00,5.58,500
520.00,5.66,500
510.00,5.75,500
500.00,5.86,500
500.00,5.92,500
510.00,6.02,500
500.00,6.10,500
500.00,6.19,500
