453.53,0.00,270.00
270.11,0.15,273.18
294.73,0.32,284.69
511.92,0.50,306.96
399.78,0.67,344.47
403.68,0.85,360.88
600.66,1.03,315.30
272.55,1.20,289.91
241.71,1.37,275.59
293.72,1.54,270.12
239.76,1.72,272.93
289.70,1.89,284.53
342.11,2.07,307.04
374.76,2.24,344.31
375.20,2.42,360.03
305.31,2.59,317.69
250.79,2.76,290.71
198.94,2.94,275.87
204.68,3.11,270.11
196.13,3.29,272.95
206.23,3.46,284.38
250.64,3.64,306.77
293.51,3.81,345.04
387.55,3.99,360.89
327.35,4.16,317.18
280.47,4.34,290.29
231.74,4.51,275.48
207.26,4.68,270.12
189.80,4.86,272.92
206.11,5.03,284.41
241.93,5.21,306.64
317.08,5.38,344.23
372.19,5.56,361.17
388.31,5.73,317.14
335.90,5.91,290.39
293.12,6.08,275.65
