300.00,0.09,336.23
300.00,0.17,339.80
306.00,0.25,346.14
324.00,0.34,355.94
330.00,0.43,368.68
352.00,0.52,385.08
368.00,0.61,408.50
384.00,0.69,433.18
440.00,0.78,471.35
432.00,0.86,441.28
422.00,0.95,412.10
410.00,1.04,388.57
376.00,1.13,371.01
358.00,1.22,357.27
330.00,1.30,347.59
324.00,1.38,340.96
318.00,1.48,336.51
312.00,1.56,335.01
306.00,1.65,336.01
306.00,1.74,339.96
306.00,1.82,345.89
318.00,1.91,355.32
330.00,2.00,367.68
352.00,2.08,384.26
376.00,2.17,406.52
402.00,2.26,433.37
422.00,2.34,468.11
464.00,2.43,441.90
410.00,2.52,411.95
384.00,2.61,388.95
368.00,2.71,369.42
358.00,2.78,357.92
336.00,2.87,347.44
330.00,2.96,340.65
324.00,3.05,336.56
312.00,3.13,335.02
312.00,3.22,335.96
312.00,3.31,339.55
318.00,3.39,345.94
324.00,3.48,355.38
336.00,3.57,367.94
352.00,3.65,384.37
376.00,3.74,406.66
402.00,3.83,432.77
422.00,3.92,468.32
432.00,4.01,438.51
410.00,4.10,409.95
402.00,4.18,389.60
384.00,4.27,370.10
352.00,4.36,357.44
330.00,4.44,347.61
312.00,4.53,340.36
312.00,4.62,336.48
312.00,4.70,335.02
318.00,4.80,336.27
312.00,4.87,339.45
318.00,4.96,345.87
324.00,5.05,355.01
336.00,5.14,368.88
352.00,5.22,384.18
376.00,5.31,406.11
394.00,5.40,432.84
410.00,5.49,472.40
440.00,5.58,440.04
402.00,5.66,411.14
394.00,5.75,389.05
368.00,5.86,366.70
358.00,5.93,357.62
336.00,6.02,346.72
318.00,6.10,340.64
312.00,6.19,336.49
306.00,6.28,335.01
