480.00,0.07,500
480.00,0.17,500
480.00,0.25,500
480.00,0.34,500
500.00,0.42,500
510.00,0.51,500
510.00,0.60,500
510.00,0.69,500
520.00,0.77,500
510.00,0.86,500
520.00,0.96,500
520.00,1.04,500
510.00,1.13,500
510.00,1.22,500
520.00,1.30,500
520.00,1.38,500
510.00,1.47,500
510.00,1.57,500
510.00,1.65,500
500.00,1.73,500
490.00,1.83,500
490.00,1.91,500
500.00,2.00,500
510.00,2.09,500
510.00,2.17,500
510.00,2.26,500
510.00,2.36,500
510.00,2.44,500
510.00,2.52,500
500.00,2.61,500
500.00,2.70,500
500.00,2.78,500
490.00,2.87,500
500.00,2.96,500
500.00,3.04,500
500.00,3.13,500
510.00,3.23,500
510.00,3.31,500
500.00,3.39,500
500.00,3.48,500
500.00,3.57,500
500.00,3.66,500
500.00,3.74,500
500.00,3.83,500
500.00,3.92,500
510.00,4.00,500
510.00,4.10,500
520.00,4.18,500
535.00,4.27,500
535.00,4.35,500
510.00,4.44,500
510.00,4.53,500
500.00,4.61,500
500.00,4.70,500
510.00,4.79,500
500.00,4.88,500
480.00,4.96,500
490.00,5.05,500
480.00,5.14,500
470.00,5.23,500
480.00,5.31,500
480.00,5.40,500
500.00,5.49,500
490.00,5.58,500
490.00,5.66,500
485.00,5.76,500
500.00,5.86,500
500.00,5.93,500
500.00,6.01,500
490.00,6.10,500
480.00,6.19,500
480.00,6.27,500
