329.53,0.04,335.28
332.70,0.13,337.86
335.54,0.21,342.82
335.96,0.30,350.90
366.53,0.42,366.70
374.33,0.48,377.29
407.57,0.57,396.68
425.44,0.65,422.23
450.13,0.74,454.27
441.19,0.83,454.09
469.30,0.91,423.49
448.86,1.01,396.57
431.25,1.09,377.21
392.48,1.18,362.59
357.79,1.26,351.51
321.49,1.35,343.15
301.29,1.44,338.05
291.04,1.54,335.21
287.34,1.61,335.31
287.65,1.70,337.90
289.73,1.79,342.90
298.46,1.88,351.25
314.43,1.96,362.73
346.47,2.05,377.39
366.51,2.13,396.26
394.27,2.22,421.00
417.00,2.31,453.58
442.69,2.41,451.24
452.79,2.48,423.68
495.51,2.57,397.81
438.08,2.66,377.53
414.12,2.74,363.33
394.60,2.84,350.86
386.99,2.93,342.95
366.96,3.01,337.89
356.17,3.10,335.29
346.22,3.19,335.33
337.40,3.27,337.78
337.85,3.36,343.10
346.87,3.45,351.19
353.29,3.54,362.97
363.15,3.62,378.34
374.95,3.71,398.02
400.44,3.80,422.90
443.45,3.88,454.24
460.06,3.97,453.23
480.00,4.06,423.16
463.65,4.14,397.67
491.18,4.23,378.28
481.11,4.32,362.12
453.26,4.40,351.51
405.60,4.49,343.41
397.67,4.58,338.06
371.99,4.67,335.33
367.40,4.75,335.29
370.30,4.84,337.94
360.94,4.93,343.38
356.99,5.02,350.99
367.39,5.11,362.70
374.45,5.19,376.93
396.07,5.28,396.75
420.05,5.37,421.96
437.17,5.46,455.27
450.50,5.54,455.35
508.50,5.63,421.67
440.77,5.71,397.61
437.76,5.80,378.02
416.08,5.89,363.05
394.91,5.98,350.78
369.00,6.06,343.47
357.64,6.15,338.00
336.76,6.24,335.31
