334.00,0.00,335.00
334.00,0.07,335.85
334.00,0.15,338.83
334.00,0.23,344.25
348.00,0.32,353.10
360.00,0.42,366.09
380.00,0.50,381.08
394.00,0.59,402.12
412.00,0.68,429.97
470.00,0.77,465.68
460.00,0.84,448.18
452.00,0.93,418.15
432.00,1.02,394.04
404.00,1.10,375.04
388.00,1.20,359.40
368.00,1.28,349.59
360.00,1.37,341.78
354.00,1.45,337.30
342.00,1.54,335.15
334.00,1.63,335.58
334.00,1.72,338.53
342.00,1.81,344.55
348.00,1.90,354.06
360.00,1.98,364.97
380.00,2.07,381.18
398.00,2.15,400.82
432.00,2.25,429.40
440.00,2.33,460.20
492.00,2.42,445.86
432.00,2.50,417.33
412.00,2.59,392.87
398.00,2.68,374.94
380.00,2.76,360.70
360.00,2.85,349.65
348.00,2.94,342.05
342.00,3.03,337.28
328.00,3.12,335.06
328.00,3.21,335.72
328.00,3.29,338.83
334.00,3.38,344.59
334.00,3.47,353.47
348.00,3.55,364.71
360.00,3.64,381.07
380.00,3.73,401.53
404.00,3.81,427.74
432.00,3.91,463.73
470.00,3.99,447.77
440.00,4.08,416.51
432.00,4.16,393.01
412.00,4.25,374.05
394.00,4.34,360.32
354.00,4.43,349.05
354.00,4.51,342.09
334.00,4.60,337.09
334.00,4.68,335.15
342.00,4.77,335.61
342.00,4.86,338.85
342.00,4.95,344.53
342.00,5.03,352.87
354.00,5.12,364.76
368.00,5.21,381.12
380.00,5.30,401.60
404.00,5.38,428.19
422.00,5.47,460.52
440.00,5.56,445.58
470.00,5.64,417.11
422.00,5.73,392.97
404.00,5.82,375.02
398.00,5.91,360.30
380.00,5.99,349.58
360.00,6.08,342.01
342.00,6.17,337.30
