336.09,0.00,335.00
333.86,0.06,335.61
338.05,0.14,338.51
342.44,0.25,345.52
364.01,0.32,353.23
382.40,0.41,365.06
401.48,0.49,380.42
430.12,0.59,402.41
459.57,0.67,428.13
444.65,0.76,460.92
474.78,0.85,446.48
426.49,0.94,416.16
374.64,1.02,392.22
351.30,1.11,374.23
326.84,1.19,360.31
297.09,1.28,349.70
279.31,1.37,342.08
279.44,1.46,337.17
274.65,1.54,335.14
281.81,1.63,335.55
297.50,1.72,338.69
309.57,1.81,345.19
339.83,1.90,353.54
364.70,1.99,366.00
395.53,2.08,382.76
414.57,2.16,403.12
439.18,2.24,427.20
469.25,2.34,468.34
504.59,2.42,445.44
439.75,2.50,417.33
421.10,2.59,393.13
394.03,2.68,374.54
376.02,2.77,360.08
355.56,2.85,349.76
343.96,2.94,342.12
345.15,3.03,336.95
337.50,3.11,335.13
333.87,3.21,335.77
344.23,3.29,338.77
344.96,3.37,344.24
349.02,3.47,353.34
373.51,3.55,364.71
406.04,3.64,382.19
441.77,3.73,402.10
475.36,3.83,432.21
510.87,3.90,462.30
487.87,4.00,444.40
485.29,4.07,417.84
457.61,4.16,394.06
426.96,4.25,374.25
386.91,4.34,359.71
373.38,4.43,349.27
353.62,4.51,341.65
350.55,4.60,337.18
355.86,4.69,335.11
353.86,4.78,335.66
343.90,4.86,338.68
353.79,4.94,344.27
365.79,5.03,353.13
379.99,5.13,366.13
407.42,5.21,380.68
413.56,5.29,400.74
444.27,5.39,430.41
483.51,5.47,462.40
433.71,5.56,447.70
431.52,5.64,417.11
409.74,5.73,392.71
384.45,5.82,374.82
364.26,5.91,360.45
342.55,5.99,349.58
323.98,6.08,341.93
317.22,6.17,337.17
