333.89,0.08,336.17
338.90,0.16,339.56
352.39,0.26,346.53
373.44,0.34,355.39
391.19,0.43,367.77
414.66,0.52,385.55
425.35,0.60,405.78
414.40,0.69,434.34
433.65,0.78,470.35
408.36,0.87,438.47
383.09,0.95,411.79
351.25,1.04,389.56
327.83,1.12,371.77
308.11,1.21,357.56
302.74,1.30,348.01
297.74,1.39,340.61
292.51,1.48,336.54
291.87,1.56,335.02
299.70,1.65,336.06
304.52,1.74,339.71
320.89,1.83,346.67
339.11,1.91,355.18
346.20,2.00,368.76
384.74,2.09,385.90
400.53,2.17,405.92
417.28,2.26,434.13
454.70,2.35,468.60
427.06,2.43,442.31
408.91,2.53,410.38
391.47,2.61,389.19
369.69,2.69,371.49
347.80,2.78,357.78
341.26,2.88,347.13
339.59,2.95,340.92
334.01,3.05,336.56
325.85,3.13,335.02
333.90,3.22,335.96
342.12,3.30,339.49
346.29,3.40,346.13
349.96,3.48,355.38
376.93,3.57,368.12
399.86,3.65,384.37
432.15,3.74,406.06
448.12,3.83,434.30
460.28,3.92,468.81
465.79,4.01,439.31
448.04,4.09,411.51
427.30,4.18,389.60
398.69,4.27,371.04
377.18,4.35,358.02
362.47,4.44,347.72
347.47,4.53,340.76
343.41,4.61,336.69
344.78,4.70,335.02
348.61,4.79,336.08
344.59,4.89,340.19
355.51,4.97,346.15
351.95,5.05,355.14
380.37,5.14,368.34
399.93,5.23,384.64
410.74,5.31,405.52
437.45,5.41,436.31
448.18,5.49,471.39
414.78,5.57,441.67
405.28,5.66,411.46
385.10,5.76,387.59
363.99,5.86,366.70
355.29,5.92,357.91
342.12,6.01,347.53
332.62,6.10,340.71
332.23,6.18,336.66
335.08,6.27,335.01
